Australia,Norris,Verstappen,Russell,Antonelli,Albon,Stroll,Hülkenberg,Leclerc,Piastri,Hamilton,Gasly,Tsunoda,Ocon,Bearman,Lawson,Bortoleto,Alonso,Sainz,Doohan,Hadjar
China Sprint,Hamilton,Piastri,Verstappen,Russell,Leclerc,Tsunoda,Antonelli,Norris,Stroll,Alonso,Albon,Gasly,Hadjar,Lawson,Bearman,Ocon,Sainz,Bortoleto,Hülkenberg,Doohan
China,Piastri,Norris,Russell,Verstappen,Ocon,Antonelli,Albon,Bearman,Stroll,Sainz,Hadjar,Lawson,Doohan,Bortoleto,Hülkenberg,Tsunoda,Alonso,Leclerc,Hamilton,Gasly
Japan,Verstappen,Norris,Piastri,Leclerc,Russell,Antonelli,Hamilton,Hadjar,Albon,Bearman,Alonso,Tsunoda,Gasly,Sainz,Doohan,Hülkenberg,Lawson,Ocon,Bortoleto,Stroll
Bahrain,Piastri,Russell,Norris,Leclerc,Hamilton,Verstappen,Gasly,Ocon,Tsunoda,Bearman,Antonelli,Albon,Hadjar,Doohan,Alonso,Lawson,Stroll,Bortoleto,Sainz,Hülkenberg
Saudi Arabia,Piastri,Verstappen,Leclerc,Norris,Russell,Antonelli,Hamilton,Sainz,Albon,Hadjar,Alonso,Lawson,Bearman,Ocon,Hülkenberg,Stroll,Doohan,Bortoleto,Tsunoda,Gasly
Miami Sprint,Norris,Piastri,Hamilton,Russell,Stroll,Tsunoda,Antonelli,Gasly,Hülkenberg,Hadjar,Albon,Ocon,Lawson,Bearman,Bortoleto,Doohan,Verstappen,Alonso,Sainz,Leclerc
Miami,Piastri,Norris,Russell,Verstappen,Albon,Antonelli,Leclerc,Hamilton,Sainz,Tsunoda,Hadjar,Ocon,Gasly,Hülkenberg,Alonso,Stroll,Lawson,Bortoleto,Bearman,Doohan
Imola,Verstappen,Norris,Piastri,Hamilton,Albon,Leclerc,Russell,Sainz,Hadjar,Tsunoda,Alonso,Hülkenberg,Gasly,Lawson,Stroll,Colapinto,Bearman,Bortoleto,Antonelli,Ocon
Monaco,Norris,Leclerc,Piastri,Verstappen,Hamilton,Hadjar,Ocon,Lawson,Albon,Sainz,Russell,Bearman,Colapinto,Bortoleto,Stroll,Hülkenberg,Tsunoda,Antonelli,Alonso,Gasly
Spain,Piastri,Norris,Leclerc,Russell,Hülkenberg,Hamilton,Hadjar,Gasly,Alonso,Verstappen,Lawson,Bortoleto,Tsunoda,Sainz,Colapinto,Ocon,Bearman,Antonelli,Albon,Stroll
Canada,Russell,Verstappen,Antonelli,Piastri,Leclerc,Hamilton,Alonso,Hülkenberg,Ocon,Sainz,Bearman,Tsunoda,Colapinto,Bortoleto,Gasly,Hadjar,Stroll,Norris,Lawson,Albon
Austria,Norris,Piastri,Leclerc,Hamilton,Russell,Lawson,Alonso,Bortoleto,Hülkenberg,Ocon,Bearman,Hadjar,Gasly,Stroll,Colapinto,Tsunoda,Albon,Verstappen,Antonelli,Sainz
UK,Norris,Piastri,Hülkenberg,Hamilton,Verstappen,Gasly,Stroll,Albon,Alonso,Russell,Bearman,Sainz,Ocon,Leclerc,Tsunoda,Antonelli,Hadjar,Bortoleto,Lawson,Colapinto
Belgium Sprint,Verstappen,Piastri,Norris,Leclerc,Ocon,Sainz,Bearman,Hadjar,Bortoleto,Lawson,Tsunoda,Russell,Stroll,Alonso,Hamilton,Albon,Antonelli,Hülkenberg,Colapinto,Gasly
