#Race,Who,P1,Doohan,Bortoleto,Hülkenberg,Albon,Sainz,Hadjar,Lawson,Bearman,Ocon,Colapinto,Gasly,Stroll,Alonso,Antonelli,Russell,Tsunoda,Verstappen,Hamilton,Leclerc,Piastri,Norris
Australia,Matt,Norris,2,4,10,10,3,1,2,4,5,,6,9,4,10,9,9,10,5,6,8,10
Australia,Tommy,Antonelli,3,5,10,10,2,2,2,4,6,,6,8,3,10,9,9,10,5,6,8,10
Australia,Audience,,4,5,9,10,4,0,2,5,5,,6,8,4,9,9,7,9,5,6,8,10
China,Matt,Ocon,4,5,4,8,5,7,1,9,10,,6,7,5,7,9,8,8,8,7,10,8
China,Tommy,Piastri,4,6,4,8,5,7,1,9,10,,6,7,5,7,9,8,9,8,7,10,8
China,Audience,,4,5,5,8,6,7,1,8,9,,5,7,5,7,9,8,8,8,7,10,8
Japan,Matt,Verstappen,4,5,6,9,5,10,4,9,3,,6,1,7,8,8,6,10,6,9,8,8
Japan,Tommy,Verstappen,3,5,6,8,5,10,5,9,3,,6,2,7,8,8,5,10,6,9,8,8
Japan,Audience,,4,4,5,8,5,9,4,9,3,,5,0,6,8,8,6,10,6,8,8,8
Bahrain,Matt,Russell,6,5,6,6,6,5,3,9,9,,10,4,5,7,10,7,8,7,9,10,6
Bahrain,Tommy,Russell,6,5,6,7,6,5,3,9,9,,9,4,6,7,10,7,8,7,8,10,7
Bahrain,Audience,,6,5,5,6,5,5,3,9,9,,9,3,5,7,10,7,7,8,8,10,6
Saudi Arabia,Matt,Leclerc,3,4,6,8,9,8,7,6,5,,5,4,8,7,7,5,9,5,10,10,7
Saudi Arabia,Tommy,Leclerc,3,4,5,8,9,9,7,6,5,,5,4,8,8,8,5,9,5,10,10,6
Saudi Arabia,Audience,,4,4,5,8,9,8,6,5,5,,5,4,7,7,7,5,9,6,10,10,7
Miami,Matt,Albon,3,6,7,10,7,6,3,4,7,,6,7,5,8,8,6,9,7,6,10,9
Miami,Tommy,Albon,3,7,7,10,7,6,3,6,8,,6,7,6,9,8,5,9,7,5,9,8
Miami,Audience,,3,5,6,10,7,6,3,4,5,,5,6,5,8,8,6,8,7,6,10,9
Imola,Matt,Verstappen,,6,8,10,8,8,5,5,4,5,5,6,8,5,7,5,10,8,8,8,8
Imola,Tommy,Verstappen,,6,7,9,8,8,5,6,5,5,6,6,8,5,7,5,10,8,8,8,8
Imola,Audience,,,5,7,10,8,8,4,5,5,4,6,6,7,5,7,6,10,9,8,8,8
Monaco,Matt,Norris,,6,6,8,7,10,8,7,10,6,3,3,9,3,5,4,8,6,10,8,10
Monaco,Tommy,Hadjar,,6,6,7,7,10,8,6,10,5,2,3,9,2,6,4,8,6,9,8,10
Monaco,Audience,,,5,5,8,7,10,8,6,9,5,5,3,8,3,5,4,8,7,9,8,10
Spain,Matt,Hülkenberg,,7,10,5,4,9,7,4,4,4,8,5,8,6,8,3,0,7,9,10,8
Spain,Tommy,Hülkenberg,,8,10,4,4,9,7,4,4,4,8,4,8,6,8,3,1,7,9,10,8
Spain,Audience,,,8,10,5,4,9,6,4,4,5,8,0,8,6,8,4,0,7,9,10,8
Canada,Matt,Russell,,6,9,5,7,4,3,7,8,7,4,2,10,10,10,5,9,7,7,7,2
Canada,Tommy,Russell,,6,10,5,7,6,4,7,8,7,5,2,10,10,10,5,9,7,7,8,1
Canada,Audience,,,6,9,5,7,5,3,7,8,6,4,2,9,10,10,5,9,7,7,7,4
Austria,Matt,Norris,,10,9,6,3,7,10,6,8,4,6,4,9,2,7,2,,8,9,9,10
Austria,Tommy,Lawson,,10,9,7,4,6,10,7,8,4,6,5,9,2,8,1,,8,9,9,10
Austria,Audience,,,10,9,5,5,6,10,7,8,3,5,4,8,2,7,2,5,8,9,9,10
UK,Matt,Hülkenberg,,4,11,7,7,4,4,6,5,1,10,8,7,5,5,2,7,8,3,8,9
UK,Tommy,Hülkenberg,,3,11,7,7,4,4,6,5,2,10,8,7,5,5,2,7,8,2,8,9
UK,Audience,,,4,10,7,5,5,5,6,5,0,9,8,7,5,5,2,7,8,4,9,10
Belgium,Matt,Piastri,,9,5,9,7,6,8,7,7,3,8,5,4,2,7,6,9,6,9,10,7
Belgium,Tommy,Piastri,,9,5,9,7,7,8,7,8,4,8,4,4,2,7,6,9,6,9,10,8
Belgium,Audience,,,9,5,8,6,5,8,7,7,2,7,4,4,3,7,6,9,7,9,10,8
Hungary,Matt,Bortoleto,,10,5,5,6,6,8,5,4,5,3,9,10,5,9,3,6,4,9,9,9
Hungary,Tommy,Bortoleto,,10,5,5,6,6,8,4,4,4,3,8,10,5,9,4,6,3,9,9,9
Hungary,Audience,,,10,5,5,5,6,8,5,4,4,3,8,10,6,9,3,6,4,9,9,9
Netherlands,Matt,Hadjar,,5,5,9,6,10,5,10,8,7,5,8,7,2,7,6,9,2,9,10,9
Netherlands,Tommy,Hadjar,,5,5,9,6,10,5,9,8,7,5,7,7,3,7,6,9,3,8,10,9
Netherlands,Audience,,,5,5,9,6,10,5,10,7,6,5,8,7,3,7,7,9,4,9,10,9
Italy,Matt,Verstappen,,9,,9,6,7,5,6,4,6,5,4,7,6,8,3,10,7,8,8,9
Italy,Tommy,Verstappen,,9,,9,7,8,5,5,4,6,5,4,8,4,8,3,10,7,8,8,9
Italy,Audience,,,9,,9,6,7,5,6,5,4,5,3,7,6,8,4,10,8,8,8,8
Azerbaijan,Matt,Verstappen,,6,3,3,10,7,10,5,5,4,4,4,5,9,9,8,10,6,5,0,5
Azerbaijan,Tommy,Verstappen,,7,3,3,10,7,10,5,5,5,4,4,5,9,9,8,10,6,5,0,5
Azerbaijan,Audience,,,6,4,4,10,7,9,6,6,3,4,4,5,8,9,8,10,5,5,0,4
Singapore,Matt,Russell,,5,3,6,9,7,5,9,4,6,5,5,10,7,10,4,9,7,7,7,8
